configuration	term	J	energy
2p6.3s2	1S	0	0.0
3s.3p	3P*	0	0.19911554
3s.3p	3P*	1	0.19929833
3s.3p	3P*	2	0.19966935
3s.3p	1P*	1	0.31941062
3s.4s	3S	1	0.37541836
3s.4s	1S	0	0.39643154
3s.3d	1D	2	0.42285584
3s.4p	3P*	0	0.43596035
3s.4p	3P*	1	0.43599038
3s.4p	3P*	2	0.43605187
3s.3d	3D	2	0.43701659
3s.3d	3D	3	0.43701675
3s.3d	3D	1	0.43701687
3s.4p	1P*	1	0.44968048
3s.5s	3S	1	0.47269724
3s.5s	1S	0	0.47892739
3s.4d	1D	2	0.48419848
3s.4d	3D	3	0.49383617
3s.4d	3D	2	0.49383652
3s.4d	3D	1	0.49383689
3s.5p	3P*	0	0.49435152
3s.5p	3P*	1	0.49436316
3s.5p	3P*	2	0.49438722
3s.4f	1F*	3	0.49824836
3s.4f	3F*	2	0.49825033
3s.4f	3F*	3	0.49825076
3s.4f	3F*	4	0.49825125
3s.5p	1P*	1	0.49852264
3s.6s	3S	1	0.5093236
3s.6s	1S	0	0.51201246
3s.5d	1D	2	0.51311972
3s.5d	3D	3	0.5191326
3s.5d	3D	2	0.51913287
3s.5d	3D	1	0.51913308
3s.6p	3P*	0	0.51957785
3s.6p	3P*	1	0.51958373
3s.6p	3P*	2	0.51959559
3s.5f	1F*	3	0.52128269
3s.5f	3F*	2	0.52128328
3s.5f	3F*	3	0.52128364
3s.5f	3F*	4	0.52128398
3s.6p	1P*	1	0.52138137
3s.5g	1G	4	0.52181666
3s.5g	3G	3	0.52181666
3s.5g	3G	4	0.52181666
3p2	3P	0	0.5268286999999999
3p2	3P	1	0.5270166999999999
3s.7s	3S	1	0.5272155
3p2	3P	2	0.5273861
3s.7s	1S	0	0.5286206
3s.6d	1D	2	0.52874672
3s.6d	3D	3	0.53257037
3s.6d	3D	2	0.53257046
3s.6d	3D	1	0.53257065
3s.7p	3P*	0	0.5328788
3s.7p	3P*	1	0.53288182
3s.7p	3P*	2	0.53288856
3s.6f	1F*	3	0.53377902
3s.6f	3F*	2	0.53377948
3s.6f	3F*	3	0.53377948
3s.6f	3F*	4	0.53377948
3s.7p	1P*	1	0.5338223000000001
3s.6g	1G	4	0.53410086
3s.6g	3G	3	0.53410086
3s.6g	3G	4	0.53410086
3s.6g	3G	5	0.53410086
